Security Code,Issuer Name,Security Id,Security Name,Face Value,Industry,Sector Name
500002,ABB India Limited,ABB,ABB India Limited,2,Heavy Electrical Equipment,Industrials
500003,Aegis Logistics Ltd.,AEGISLOG,AEGIS LOGISTICS LTD.,1,Trading - Gas,Energy
500008,Amara Raja Batteries Ltd,AMARAJABAT,AMARA RAJA BATTERIES LTD.,1,Auto Components & Equipments,Consumer Discretionary
500009,"Ambalal Sarabhai Enterprise Ltd.,",AMBALALSA,AMBALAL SARABHAI ENTERPRISES LTD.,10,Pharmaceuticals,Healthcare
500012,"Andhra Petrochemicals Ltd.,",ANDHRAPET,ANDHRA PETROCHEMICALS LTD.,10,Commodity Chemicals,Commodities
500013,Ansal Properties & Infrastructure Ltd.,ANSALAPI,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,5,Residential- Commercial Projects,Consumer Discretionary
500014,UTIQUE ENTERPRISES LIMITED,UTIQUE,Utique Enterprises Ltd,10,Precious Metals,Commodities
500016,Aruna Hotels Ltd.,ARUNAHTEL,ARUNA HOTELS LTD.,10,Hotels & Resorts,Consumer Discretionary
500020,"Bombay Dyeing & Mfg. Co. Ltd.,",BOMDYEING,BOMBAY DYEING & MFG.CO.LTD.,2,Other Textile Products,Consumer Discretionary
500023,Asian Hotels (North) Limited,ASIANHOTNR,Asian Hotels (North) Limited,10,Hotels & Resorts,Consumer Discretionary
500027,"Atul Limited.,",ATUL,ATUL LTD.,10,Specialty Chemicals,Commodities
500028,ATV Projects India Ltd,ATVPR,ATV PROJECTS INDIA LTD.,10,Industrial Products,Industrials
500031,"Bajaj Electricals Ltd.,",BAJAJELEC,BAJAJ ELECTRICALS LTD.-$,2,Household Appliances,Consumer Discretionary
500032,Bajaj Hindusthan Sugar Limited,BAJAJHIND,Bajaj Hindusthan Sugar Limited,1,Sugar,Fast Moving Consumer Goods
500033,Force Motors Limited,FORCEMOT,FORCE MOTORS LTD.-$,10,Passenger Cars & Utility Vehicles,Consumer Discretionary
500034,Bajaj Finance Limited,BAJFINANCE,Bajaj Finance Limited,2,Non Banking Financial Company (NBFC),Financial Services
500038,Balrampur Chini Mills Ltd.,BALRAMCHIN,BALRAMPUR CHINI MILLS LTD.,1,Sugar,Fast Moving Consumer Goods
500039,"Banco Products (India) Ltd.,",BANCOINDIA,BANCO PRODUCTS (INDIA) LTD.-$,2,Auto Components & Equipments,Consumer Discretionary
500040,"Century Textiles & Industries Ltd.,",CENTURYTEX,CENTURY TEXTILES & INDUSTRIES LTD.,10,Paper & Paper Products,Commodities
500041,"Bannari Amman Sugars Ltd.,",BANARISUG,BANNARI AMMAN SUGARS LTD.,10,Sugar,Fast Moving Consumer Goods
500042,BASF India Ltd,BASF,BASF INDIA LTD.,10,Specialty Chemicals,Commodities
500043,Bata India Limited,BATAINDIA,BATA INDIA LTD.,5,Footwear,Consumer Discretionary
500048,BEML Ltd,BEML,BEML LTD.,10,Construction Vehicles,Industrials
500049,"Bharat Electronics Ltd.,",BEL,BHARAT ELECTRONICS LTD.,1,Aerospace & Defense,Industrials
